timestamp,BFR_Target,BFR_Filt,FFR_Target,FFR_Filt,TFR_Target,TFR_Filt,BFL_Target,BFL_Filt,FFL_Target,FFL_Filt,TFL_Target,TFL_Filt,BBR_Target,BBR_Filt,FBR_Target,FBR_Filt,TBR_Target,TBR_Filt,BBL_Target,BBL_Filt,FBL_Target,FBL_Filt,TBL_Target,TBL_Filt
0.5,0.0,-0.13878903038804918,0.0,-1.795009785815905,0.0,1.5784115739084013,0.0,-0.11253427680640943,0.0,-1.7865336277776251,0.0,1.5718797786277534,0.0,-0.13511963131837884,0.0,-1.6315373188812894,0.0,1.4633671759015856,0.0,-0.11686835199989985,0.0,-1.623152194458041,0.0,1.4568914095164731
0.51,0.0,-0.1386910998827815,0.0,-1.7930066193983873,0.0,1.576653227083946,0.0,-0.11237407418581824,0.0,-1.7845650391927805,0.0,1.5701438433615122,0.0,-0.13502070029711943,0.0,-1.6297275321946474,0.0,1.4617552512574628,0.0,-0.11671353882545064,0.0,-1.6213783729862474,0.0,1.4553028569259163
0.52,0.0,-0.13859312935687412,0.0,-1.7910058008583967,0.0,1.574896374363372,0.0,-0.11221384488480061,0.0,-1.782598798485463,0.0,1.5684092954774465,0.0,-0.1349216892345807,0.0,-1.6279184925599461,0.0,1.4601435400567513,0.0,-0.1165586456097221,0.0,-1.6196051918446885,0.0,1.453714517778771
0.53,0.0,-0.13849514549075354,0.0,-1.7890072234742276,0.0,1.5731409090249728,0.0,-0.112053615583783,0.0,-1.780634798933967,0.0,1.5666763484189672,0.0,-0.13482261147097585,0.0,-1.6261105201423025,0.0,1.4585324691862744,0.0,-0.11640371237335387,0.0,-1.6178330779201877,0.0,1.452126925683566
0.54,0.0,-0.13839718830505937,0.0,-1.787010673802468,0.0,1.5713871512338662,0.0,-0.11189343964361827,0.0,-1.7786728270948808,0.0,1.5649451089077806,0.0,-0.13472350702694455,0.0,-1.6243038283851285,0.0,1.4569225722545613,0.0,-0.11624876579677243,0.0,-1.6160621379344502,0.0,1.450540400805419
0.55,0.0,-0.1382992711400049,0.0,-1.7850160451214128,0.0,1.5696349942683463,0.0,-0.11173332373441304,0.0,-1.7767127762464987,0.0,1.5632155769438865,0.0,-0.13462438924270004,0.0,-1.6224985240101295,0.0,1.4553138492616118,0.0,-0.11609383256040422,0.0,-1.6142926920525937,0.0,1.4489552633094471
0.56,0.0,-0.13820143401622975,0.0,-1.7830232307093559,0.0,1.5678846515718248,0.0,-0.11157329453659375,0.0,-1.774754539667115,0.0,1.5614878592489905,0.0,-0.1345253114790952,0.0,-1.620694927182423,0.0,1.4537068338159547,0.0,-0.11593893934467565,0.0,-1.6125247402746183,0.0,1.447371726639062
0.5700000000000001,0.0,-0.13810367693373396,0.0,-1.7810323372880028,0.0,1.5661361231443016,0.0,-0.11141336539037364,0.0,-1.7727981173567293,0.0,1.5597619558230928,0.0,-0.13442626039591676,0.0,-1.618893037902009,0.0,1.4521014191958843,0.0,-0.1157840994898,0.0,-1.6107583893222295,0.0,1.4457897907942636
0.58,0.0,-0.1380059998925175,0.0,-1.7790432581356483,0.0,1.564389302264071,0.0,-0.11125354963596591,0.0,-1.7708434025936364,0.0,1.5580378666661936,0.0,-0.13432724933337803,0.0,-1.6170928561688875,0.0,1.4504978188448123,0.0,-0.11562932633599045,0.0,-1.608993852638839,0.0,1.4442096692184634
0.59,0.0,-0.13790842957300678,0.0,-1.7770559932522918,0.0,1.562644402374544,0.0,-0.1110938539434772,0.0,-1.7688906088212475,0.0,1.5563155917782927,0.0,-0.1342283049719054,0.0,-1.6152947021481758,0.0,1.4488960327627385,0.0,-0.11547461988324702,0.0,-1.6072311302244469,0.0,1.4426314686333674
